"term";"b_lmer";"SE_lmer";"t_lmer";"df_lmer";"p_lmer";"b_best";"SE_best";"t_best";"df_best";"p_best";"sig_lmer";"sig_best";"sig_changed";"sign_changed";"delta_b";"delta_SE"
"(Intercept)";5,04036415277801;0,0756061170338335;66,6660893393382;284,224822340693;1,44181041150392e-175;5,03018624889421;0,0753333010591074;66,7724124414443;10548;0;TRUE;TRUE;FALSE;FALSE;-0,0101779038837977;-0,000272815974726115
"event_categoryLeisure and Recreation";0,162371783233251;0,0330376496188319;4,91474984166842;10607,2253236601;9,0225861865691e-07;0,112719635052676;0,0297163632670972;3,79318404609364;10548;0,000149558378756429;TRUE;TRUE;FALSE;FALSE;-0,0496521481805749;-0,00332128635173476
"event_categorySocial and Personal Relationships";-0,108804804866493;0,0333279400705291;-3,26467236307549;10630,1248735232;0,00109937371559604;-0,116269996375782;0,0296012580951721;-3,92787347084905;10548;8,62463300369045e-05;TRUE;TRUE;FALSE;FALSE;-0,0074651915092895;-0,00372668197535705
"event_categoryWork and Professional Engagements";-0,224790116780568;0,0405484900499764;-5,54373582107526;10655,5219544484;3,03137750972852e-08;-0,150377923881998;0,0382635841951045;-3,93005326200564;10548;8,54693132268886e-05;TRUE;TRUE;FALSE;FALSE;0,07441219289857;-0,00228490585487191
"event_categoryHealth and Well-being";-0,846029221276961;0,0541030371029941;-15,6373702213132;10662,0954641696;1,63015093737323e-54;-0,625893156381681;0,0496924406921631;-12,5953394050212;10548;4,07339351979783e-36;TRUE;TRUE;FALSE;FALSE;0,22013606489528;-0,00441059641083105
"event_categoryIndeterminate";-0,0859262316842713;0,0484720223923355;-1,77269747461286;10776,576870855;0,0763070932814638;-0,0277818467686658;0,0424613496899143;-0,654285531937877;10548;0,51294213016834;FALSE;FALSE;FALSE;FALSE;0,0581443849156055;-0,00601067270242125
"groupBPD";-2,19201549962551;0,105765269944748;-20,7252862945522;266,041172922268;1,86331162290739e-57;-2,21396720933795;0,105729300379476;-20,9399589460229;263;5,8293614855157e-58;TRUE;TRUE;FALSE;FALSE;-0,0219517097124453;-3,59695652718955e-05
