"term";"b_lmer";"SE_lmer";"t_lmer";"df_lmer";"p_lmer";"b_best";"SE_best";"t_best";"df_best";"p_best";"sig_lmer";"sig_best";"sig_changed";"sign_changed";"delta_b";"delta_SE"
"(Intercept)";4,93903945795111;0,077329671864859;63,8699135641303;299,453883008512;1,74880671078029e-176;4,92427159087081;0,0768941965344566;64,0395740225236;10543;0;TRUE;TRUE;FALSE;FALSE;-0,0147678670802955;-0,000435475330402432
"event_categoryLeisure and Recreation";0,0871333484980898;0,0434038597736862;2,0075023039982;10591,7920578865;0,0447215593467445;0,0739333734504483;0,040349815840218;1,83231005918883;10543;0,0669334297601522;TRUE;FALSE;TRUE;FALSE;-0,0131999750476415;-0,00305404393346814
"event_categorySocial and Personal Relationships";-0,036041680687862;0,0484485616257488;-0,743916423490003;10623,4668881056;0,456943491800818;-0,022499001435249;0,0441226112315596;-0,50991998903175;10543;0,610118191295874;FALSE;FALSE;FALSE;FALSE;0,013542679252613;-0,00432595039418916
"event_categoryWork and Professional Engagements";-0,301774159202625;0,0475448309888127;-6,34714968854622;10648,0178923335;2,28264333537773e-10;-0,197667645268673;0,0458603762088577;-4,31020548912319;10543;1,6458376679249e-05;TRUE;TRUE;FALSE;FALSE;0,104106513933952;-0,00168445477995503
"event_categoryHealth and Well-being";-0,616842401626821;0,126650091335894;-4,87044577007741;10592,211480782;1,1295746605873e-06;-0,549442192382933;0,118980704063039;-4,61791007802262;10543;3,92210341184844e-06;TRUE;TRUE;FALSE;FALSE;0,067400209243888;-0,00766938727285527
"event_categoryIndeterminate";-0,0486975796389262;0,0725456901524469;-0,671267714685648;10711,151173448;0,502064473503348;-0,0243616344001459;0,0650385646447007;-0,374572140901803;10543;0,707986228893218;FALSE;FALSE;FALSE;FALSE;0,0243359452387803;-0,00750712550774624
"groupBPD";-2,00332437534093;0,110909878638385;-18,0626324718346;309,476434415855;2,63711538878355e-50;-2,02907219567488;0,110130876992149;-18,4241899373917;263;3,01547611063046e-49;TRUE;TRUE;FALSE;FALSE;-0,0257478203339527;-0,000779001646235691
"event_categoryLeisure and Recreation:groupBPD";0,0289092898965979;0,0654941920460239;0,441402344138895;10608,146283429;0,658930741894703;0,0355530196824714;0,0604639552858111;0,588003538875574;10543;0,556542511785516;FALSE;FALSE;FALSE;FALSE;0,00664372978587346;-0,00503023676021286
"event_categorySocial and Personal Relationships:groupBPD";-0,267635756895464;0,0660613018837855;-4,05132428916232;10626,1449245053;5,1290805202757e-05;-0,235446849502626;0,0603825867964235;-3,89925079388238;10543;9,70890918250318e-05;TRUE;TRUE;FALSE;FALSE;0,0321889073928384;-0,00567871508736194
"event_categoryWork and Professional Engagements:groupBPD";-0,0984636599835493;0,0885366017930872;-1,11212377693987;10650,9547269663;0,266110035987996;-0,0585461468977017;0,085383863607701;-0,685681631446123;10543;0,492928968893692;FALSE;FALSE;FALSE;FALSE;0,0399175130858476;-0,00315273818538613
"event_categoryHealth and Well-being:groupBPD";-0,175444732464009;0,140302803602763;-1,25047203590274;10607,5247845335;0,211154747511894;-0,0689398007735132;0,131897442597894;-0,522677312127157;10543;0,601209812036616;FALSE;FALSE;FALSE;FALSE;0,106504931690496;-0,00840536100486947
"event_categoryIndeterminate:groupBPD";-0,0962754704372127;0,0965669599738327;-0,996981477549888;10756,7605958115;0,318795926933547;-0,0528881448227823;0,0870307066538771;-0,607695224550107;10543;0,543402719690287;FALSE;FALSE;FALSE;FALSE;0,0433873256144303;-0,00953625331995563
