Model;R2_Marginal;R2_Conditional
model_1_self_esteem;0,60275466112133;0,809110634771539
model_1_valence;0,416070769307008;0,631190519743182
model_1_calmness;0,393074518340761;0,630955544187597
model_2_self_esteem;0,615340479050356;0,824650635501818
model_2_valence;0,443264867032228;0,654119139173767
model_2_calmness;0,413302726172736;0,6481258830667
