"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",4.99513476470774,4.87299296042396,5.1174587454104
"event_categoryLeisure and Recreation",0.0302934340968161,-0.0462727653223143,0.10890084273329
"event_categorySocial and Personal Relationships",-0.103459284297442,-0.16996776578217,-0.0383327643811192
"event_categoryWork and Professional Engagements",-0.27898514152747,-0.364550918063189,-0.194026871205332
"event_categoryHealth and Well-being",-0.207683620118074,-0.352016225690884,-0.0621898480419181
"event_categoryIndeterminate",0.0182487113878805,-0.0942265573551214,0.1253031187302
"event_sentimentnegative",-0.863272789598318,-0.971359322307481,-0.757429406589084
"event_sentimentpositive",0.188938482693382,0.139281746811751,0.237737855970131
"event_sentimentnone",-0.252675836667381,-0.459323329275269,-0.0290862902905089
"groupBPD",-2.16107520449059,-2.37106411182791,-1.95070598138132
