"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",5.08648628645527,4.9782137765036,5.19782997577462
"event_categoryLeisure and Recreation",0.156433223063781,0.0845972057775195,0.225142960548414
"event_categorySocial and Personal Relationships",-0.0901865833695469,-0.164660206967276,-0.0175622234124344
"event_categoryWork and Professional Engagements",-0.250548106552992,-0.334654156941751,-0.166445816386302
"event_categoryHealth and Well-being",-0.789964763859884,-0.912089538537446,-0.666784031210096
"event_categoryIndeterminate",-0.0690843945804019,-0.186873601498258,0.0438893821977335
"groupBPD",-2.33070433479735,-2.54114254813205,-2.12106175049625
