"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",8.33849052751021,8.23065624900127,8.45170605502821
"event_categoryLeisure and Recreation",-0.0185905538236388,-0.10402015267535,0.0702991823298194
"event_categorySocial and Personal Relationships",-0.115399684018999,-0.200062653989803,-0.0287835172978344
"event_categoryWork and Professional Engagements",-0.149443493752,-0.240487454250955,-0.0556395756846967
"event_categoryHealth and Well-being",-0.284459557057936,-0.443696853005542,-0.127178494175468
"event_categoryIndeterminate",-0.191177340547335,-0.303024318921694,-0.0764273259506788
"event_sentimentnegative",-0.545154478336382,-0.709208693480304,-0.372268556065857
"event_sentimentpositive",0.116147506154976,0.0627972557981494,0.167674038121327
"event_sentimentnone",0.059530287911674,-0.349946242732118,0.476355431124312
"groupBPD",-4.30166721133514,-4.63279288905526,-3.97241874226284
"event_sentimentnegative:groupBPD",-0.720463234149324,-1.00380779789454,-0.426407812325647
"event_sentimentpositive:groupBPD",0.467307540723546,0.339378922282915,0.591623378849557
"event_sentimentnone:groupBPD",-0.534986482403175,-1.06182902021368,0.00625377450249086
