"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",5.04191653216505,0.0760235824712679,4.89333549387675,5.1924250422868,1.00056744159228,4917.73084269632,9735.11802786647
"event_categoryLeisureandRecreation","HC",0.162368633641024,0.0328864351362401,0.0979477698087738,0.227166525428452,1.00004716270109,64034.951231616,54292.6183545797
"event_categorySocialandPersonalRelationships","HC",-0.108590744058002,0.0333137111956318,-0.173922834378099,-0.0433138632366228,1.00001854896878,69903.0796090436,55339.8271001586
"event_categoryWorkandProfessionalEngagements","HC",-0.225808778513606,0.0402499099768468,-0.304875289229303,-0.146855937035165,1.00002139372552,69795.1155043696,55497.063336174
"event_categoryHealthandWellMbeing","HC",-0.844355699575128,0.0541883395509863,-0.950526535655207,-0.738028178320614,1.00002344138025,71844.0850556856,52657.6828091792
"event_categoryIndeterminate","HC",-0.0881554904888853,0.0483691230294948,-0.183061671914752,0.00722199638769723,1.00006193304496,67199.897744481,56686.4314044822
"groupBPD","BPD",-2.19155384301127,0.105767331880784,-2.39942097276178,-1.98454668528133,1.00030586351881,5050.39842214568,9624.12036562794
