"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",4.78793108138803,0.0972124456512255,4.59826207300037,4.97860296420806,1.00081564190869,8716.86422953697,18245.7659980882
"event_categoryLeisureandRecreation","HC",0.0230095265997391,0.0323955397207684,-0.0405228557470131,0.0869531535306428,1.00004044321411,119064.791584873,59643.7382076057
"event_categorySocialandPersonalRelationships","HC",-0.209122581783535,0.0326297120043951,-0.273399760403709,-0.145481557733215,1.00008906769804,118078.839561342,59249.3651787645
"event_categoryWorkandProfessionalEngagements","HC",-0.17803953567535,0.0390080324632663,-0.254248270571372,-0.101531727866678,1.00006854312375,128786.868648019,60935.5714608379
"event_categoryHealthandWellMbeing","HC",-0.486444057016207,0.0537380568055591,-0.591277124915141,-0.380417805968319,1.00010715443467,133636.971919878,58123.6319168931
"event_categoryIndeterminate","HC",-0.0113953986744982,0.0484294342718583,-0.106460910802742,0.0828022598129312,0.999995205401543,115789.814426393,57141.1203200043
"groupBPD","BPD",-2.02085271700014,0.112454848688002,-2.2412063125167,-1.80069030203005,1.00066476074885,8082.83591155002,16230.0571743526
"sentiment_mean","HC",1.19725747608696,0.271277601459991,0.660687383695253,1.72260632550835,1.00021798184511,9202.73449880343,19069.4992552192
"sentiment_within","HC",0.378044541943709,0.0307799687300525,0.317210760997374,0.438293542387521,0.999995485471927,100493.404359467,56817.2056560763
"groupBPD:sentiment_within","BPD",0.2956915228498,0.0400815841497712,0.217325052078837,0.374027270081968,1.00013142085809,102117.48017708,58065.5081449297
