"Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","NA","NA","NA","NA","NA","NA","NA"
"event_categoryHealthandWellMbeing",-0.513086797189487,0.143755645447935,-0.795963446268067,-0.229778773867645,1.00001149892628,17346.3729622238,22684.9195002242,NA,NA,NA,NA,NA,NA,NA
"event_categoryHealthandWellMbeing:group1",-0.4722921513555,0.167513933764497,-0.800163841273342,-0.142767097300067,0.999978288685065,16418.4654834899,21771.8321951633,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate",-0.0698457708502602,0.098369061450394,-0.262323451909371,0.125159471416096,1.00007572721828,16474.7210974334,23273.0836560169,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate:group1",-0.28622632947835,0.129660718552692,-0.53863135039864,-0.0342954628793712,1.0001563345938,14977.8970612833,22698.9678631063,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation",-0.00109401094209173,0.0538587347114344,-0.106833315272933,0.106433690658126,1.00027011811793,18011.5028602666,24587.2701612651,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation:group1",0.152611567372249,0.0863625543631118,-0.016203835416302,0.322995200929615,1.00035523830615,17889.2896201531,24315.5362672603,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships",-0.0240241188323854,0.0601031295208485,-0.143522805202824,0.0930286757552209,1.00017618457483,17187.3173930221,23684.9821070046,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships:group1",-0.219761923730113,0.0869912437859936,-0.390023378675932,-0.0505227270903855,1.00036765976729,16093.9760657651,23648.3139699851,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements",-0.183241736573159,0.0582262419783508,-0.298716446097699,-0.069644642225636,1.00042114368923,18476.5111158385,24392.4910864929,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements:group1",0.0140360873838039,0.12008771818635,-0.219573973638258,0.251296589424227,1.00040851410027,19991.7029157582,24073.8282440807,NA,NA,NA,NA,NA,NA,NA
"group1",-4.26421172740523,0.208495066400308,-4.67130977142799,-3.85016516529971,1.00547630089416,862.183421695646,2043.6150893631,NA,NA,NA,NA,NA,NA,NA
"Intercept",8.32499189294578,0.138292622969506,8.05199404097625,8.59654591366919,1.00663309807784,797.72562452788,1983.01096966518,NA,NA,NA,NA,NA,NA,NA
"sigma",NA,NA,NA,NA,NA,NA,NA,1.23375582290609,0.0103426096738245,1.21374086398244,1.25428833214759,0.999969789000159,36409.9770335894,26560.957478475
