"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",5.01493534030871,0.0816281582552932,4.85503792281857,5.17435997824602,1.00029781234647,5771.25904513417,11247.7498928489
"event_subcategoryEntertainmentandMediaConsumption","HC",0.154241636742848,0.0549802164817186,0.0467671062548121,0.262363976025162,1.00005484669413,34496.2482587784,50006.1238159481
"event_subcategoryPersonalCareandHygiene","HC",0.103244076258748,0.0795873720194789,-0.0518746320441939,0.260357623544321,1.00003542531303,57746.1823988482,52222.4809338811
"event_subcategoryCommuting","HC",-0.152010893425441,0.0634069438746132,-0.277066117653903,-0.0276058615699813,1.00001250913946,41861.4117354014,50142.0954505214
"event_subcategoryFamilyDynamics","HC",-0.137631269891226,0.0569775402846851,-0.249142425398762,-0.0256161072586473,1.0000590843185,33738.5510723861,48858.1323250545
"event_subcategorySocializingandLeisure","HC",-0.0670613797489437,0.0672151689532281,-0.198348257096709,0.0647574414248931,1.00007309904791,43622.9084513865,51211.5412039115
"event_subcategoryTravelandExcursions","HC",0.0718950227415307,0.13586970579859,-0.194460241485373,0.33912407913431,0.99998264886482,85353.2510173503,52275.4664882095
"event_subcategoryCulturalandCommunityEvents","HC",0.100892737308394,0.113194379171917,-0.121526833593894,0.320748805444445,1.00000629967803,73884.1369945823,52903.5117476627
"event_subcategoryCompanionAnimalCare","HC",-0.000911245013671872,0.105351382469718,-0.208285866971492,0.206218397989872,1.00005036334048,67063.0378286862,52321.7316878024
"event_subcategoryOutdoorandRecreationalActivities","HC",0.0457232480876289,0.0885779462121119,-0.12746119475895,0.219067629712913,1.00003164147608,66035.1454279676,53098.5950214902
"event_subcategoryRestandSleep","HC",-0.000477021682651876,0.0541104556316448,-0.106089072724323,0.105606544012778,1.00001577301776,33004.7197724903,47592.3325585266
"event_subcategoryMedicalTreatmentandHealthcareInteractions","HC",-0.636542087131524,0.133740996229487,-0.899374049755802,-0.374426861057671,1.00010332174452,86349.8028487205,52165.4495444666
"event_subcategoryHealthcareJourneysandVisits","HC",-0.712132853324298,0.0886649903739077,-0.886194155926482,-0.538202897136717,1.00000414244275,57126.2797778595,52705.0640174925
"event_subcategoryShoppingandErrands","HC",-0.18103203421757,0.0613449359503282,-0.301929462375647,-0.0616116782073389,1.00005888533087,41282.9600363434,49302.8329989308
"event_subcategoryHouseholdChores","HC",-0.13032023516493,0.0584512688137809,-0.244413587284382,-0.0155006500177956,1.00005577044592,37975.0827298319,50227.7580316893
"event_subcategoryEmotionalandConflictResolution","HC",-1.28903251740713,0.0794333487997639,-1.44535877155927,-1.13365848870291,1.00009756009414,51987.8727394331,51064.2946126022
"event_subcategoryWorkMRelatedTasksandProjects","HC",-0.411343713411291,0.0586019294225006,-0.527161121506091,-0.29680238646914,1.00006550268793,37638.4729779066,49996.957204922
"event_subcategoryMentalHealthandEmotionalState","HC",-1.06618052056906,0.0903181209994021,-1.24353254942717,-0.88852940404486,1.00004009515588,51763.5086486001,51809.4333224954
"event_subcategoryIndeterminate","HC",-0.191081709520978,0.0552616258952146,-0.299784866523348,-0.0835383928422505,1.00014351369547,30872.286272,47608.8022032831
"event_subcategoryRomanticPartnerships","HC",0.0137970476134602,0.075454458658096,-0.134231899173998,0.160894132603731,1.00008987821846,48379.1166527332,51984.7278863674
"event_subcategoryMoodandEmotionalFluctuations","HC",-0.890759919663515,0.138931557204971,-1.16407532862861,-0.621879089920492,1.00002015416299,80982.7928932652,53747.6290621445
"event_subcategoryFriendshipActivities","HC",0.0223275149287678,0.0659760615237241,-0.106700117931269,0.151599923647749,1.00007646625937,44447.6249262664,52684.3004111412
"event_subcategoryAcquaintanceandCasualInteractions","HC",-0.337052842447207,0.0964350389424037,-0.526117437298576,-0.147575017318833,1.00004410549956,65355.2657366531,54304.0790266373
"event_subcategoryEducationalandAcademicWork","HC",-0.342426108689012,0.0784744750937252,-0.496355583363762,-0.189273452219672,0.999991930414982,54148.0529631518,54762.0359180616
"event_subcategoryProfessionalCommunicationandMeetings","HC",-0.401173014274995,0.0786049845141252,-0.555027125763509,-0.24697415971086,1.00004591452027,54958.6226224537,51400.8660348236
"event_subcategoryRelaxation","HC",0.298020383142334,0.185816651139213,-0.0646500097770485,0.661698798031454,1.00002737619832,91925.5817502723,53571.1825666636
"event_subcategoryLeisureandEntertainmentatHome","HC",0.162211740563062,0.089714582302325,-0.0135634074758924,0.338409935177229,1.00004318569977,63548.1165192448,52637.5652631181
"event_subcategoryReadingandIntellectualActivities","HC",0.04328571666889,0.105175727521221,-0.162218410481009,0.250418572977794,0.999982546347187,75223.2038026328,54652.2091259959
"event_subcategoryGamesandHobbies","HC",-0.220402390593083,0.102358039841497,-0.420666127502569,-0.0197129878447547,1.00006209598612,67854.2207967444,54595.7753480043
"event_subcategoryFinancialandAdministrativeTasks","HC",-0.497242933219254,0.192126289568026,-0.87419388977173,-0.120445385930184,1.00007615658255,99544.2574935019,50784.824676964
"event_subcategoryPhysicalHealthandSymptoms","HC",-0.576217853964749,0.16924799494897,-0.908652494857199,-0.244395271500291,1.00006126466159,92848.5308978733,52556.0960906465
"event_subcategorySportsandPhysicalActivities","HC",0.0323357247362595,0.124463389241282,-0.210907280892705,0.276685403583195,1.00007947000598,88418.7886761161,52545.0455523907
"groupBPD","BPD",-2.04472295572313,0.107309251986985,-2.2555508228024,-1.83289181122801,1.0004824433541,5227.39223144642,10182.3654708696
