"group","event_category","Mean","Median","SD","ETI 2.5%","ETI 97.5%","HDI 2.5%","HDI 97.5%"
"2","Daily Routines and Household Activities",8.36940749301904,8.49206417754893,0.648198033481621,6.89713432546035,9.01227224626823,6.89510943881231,9.00860832608249
"2","Leisure and Recreation",8.35430415888525,8.54255587010296,0.728554594977377,6.88227481714191,9.02343181220099,6.89588737074344,9.03180691433595
"2","Social and Personal Relationships",8.38561692266009,8.51048629547723,0.642357636188433,6.87903813067558,8.98301775721285,6.9596446033936,8.98933259161896
"2","Work and Professional Engagements",8.06477116646993,8.24919244753393,0.757513966870906,6.06758875307457,8.83472511215435,6.37730222378155,8.84874962058585
"2","Health and Well-being",7.7762016062764,7.89233042709802,0.726434186061088,5.72797752778569,8.46938978704571,6.38442419710265,8.49828458385539
"2","Indeterminate",8.20688388182951,8.31392838988516,0.641531753638013,6.83057603564481,8.93212035855531,7.19017166723087,8.94261263499546
"1","Daily Routines and Household Activities",4.19256332916816,4.29324629319296,1.73689736697876,0.259355856917475,7.37181738237822,1.06054470105005,7.56998330855577
"1","Leisure and Recreation",4.18366684402891,4.38835750233584,1.65771475507435,0.40502950738696,6.88932649147152,0.393563181579996,6.85200829795884
"1","Social and Personal Relationships",3.65898785642448,3.44067079727152,1.91066174405703,-0.0572327798257003,7.31327911742919,-0.0798789645296174,6.50027909951159
"1","Work and Professional Engagements",4.27685817701976,4.26067995473762,1.87394130407927,0.919337075242049,7.15046101587059,0.927361447620627,7.15416423046656
"1","Health and Well-being",2.84712650798914,2.69786413587237,1.60120051502025,0.0934961211978318,5.73894855625165,0.0678393446357547,5.41939795883071
"1","Indeterminate",3.59637028522762,3.36452081837596,1.38916449620603,1.22337963269315,6.06358937098063,1.21048260079937,5.65802414811615
