"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",8.2736789846849,0.122590269879033,8.03082729691024,8.51357997593452,1.00072305855357,3283.3536271314,7168.52989993307
"event_categoryLeisureandRecreation","HC",-0.00513565434973036,0.0510360459451764,-0.10452024677807,0.0950300011640257,1.00007912485534,70378.4877161236,60350.0716101921
"event_categorySocialandPersonalRelationships","HC",-0.0464050163174859,0.0569267541822102,-0.15819895810852,0.0656109565838613,1.00008956895119,64048.3044806495,57572.0498956314
"event_categoryWorkandProfessionalEngagements","HC",-0.189996041465797,0.0557546013447105,-0.299017067404922,-0.0809057690174314,1.00002815396892,74129.6771757507,60709.0046176256
"event_categoryHealthandWellMbeing","HC",-0.458677907261446,0.148883699465943,-0.750390914863247,-0.168129964981474,1.00006405591788,69968.6274113753,55207.7357144113
"event_categoryIndeterminate","HC",-0.0451163516378114,0.0850794858659547,-0.212395060587745,0.121656675142638,1.00008357030576,67680.8285934614,58211.8206432264
"groupBPD","BPD",-3.96005835733252,0.176808910472564,-4.3087414964706,-3.61630791133594,1.00051249552818,3351.24993663646,6571.29003567287
"event_categoryLeisureandRecreation:groupBPD","BPD",0.0839102688429875,0.0771027004709955,-0.0661223420250701,0.234623596537402,1.0000022424192,68130.2979550583,58484.8222599066
"event_categorySocialandPersonalRelationships:groupBPD","BPD",-0.263413917533844,0.0779364066327776,-0.41642750657021,-0.110884388746856,1.00014864336746,61688.4293528399,57071.7003311387
"event_categoryWorkandProfessionalEngagements:groupBPD","BPD",0.17955849211136,0.103765154258692,-0.0234721294043753,0.383885430760031,1.00003248075837,77775.0194162644,59903.6222377453
"event_categoryHealthandWellMbeing:groupBPD","BPD",-0.646215411523266,0.164627476279723,-0.968027733325903,-0.324248532557764,1.00008611848916,66900.5189318878,54318.8249798069
"event_categoryIndeterminate:groupBPD","BPD",-0.386839831644357,0.113210086064206,-0.608713435301039,-0.16447834948811,1.00010655790382,62628.2522852209,57615.2848263404
