"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",8.29687721913485,0.125685281745028,8.05118691029373,8.54402911858468,1.00160623678112,3497.26702321502,6942.22332627972
"event_subcategoryEntertainmentandMediaConsumption","HC",-0.142266817978026,0.0642127301904307,-0.268274665289273,-0.016269865293903,1.00004185170982,34280.3934824236,46941.463562191
"event_subcategoryPersonalCareandHygiene","HC",0.184179388530944,0.0939115826669563,0.00140491938987674,0.3688042272758,1.00014131026655,58427.3587675417,49174.5163530359
"event_subcategoryCommuting","HC",-0.00192012196094813,0.074507131876787,-0.147349010345127,0.143540542009791,1.00006859580678,42586.1718143063,48672.9376223519
"event_subcategoryFamilyDynamics","HC",-0.112471870663987,0.0666574991799245,-0.242740581515276,0.0179310387636833,1.0000221024615,35769.9810762917,50343.7061460473
"event_subcategorySocializingandLeisure","HC",0.190532770470117,0.0788074209443983,0.0369935873863525,0.345123893751816,1.0000351893397,44834.8788375636,49938.0054295603
"event_subcategoryTravelandExcursions","HC",0.334046235138432,0.159169280961765,0.0215772412326813,0.644522055364499,1.0000369273201,93989.1675818884,50576.8756251142
"event_subcategoryCulturalandCommunityEvents","HC",0.263850984728728,0.132251060047294,0.00462054643131349,0.523843771163274,1.00008310071527,81404.1587690646,52090.3110269053
"event_subcategoryCompanionAnimalCare","HC",-0.0625190033409673,0.122518019371755,-0.304083326335214,0.178457171759636,1.00000226925424,74167.9353141116,52161.8162751735
"event_subcategoryOutdoorandRecreationalActivities","HC",0.213932131195413,0.102732141219679,0.0118929666390512,0.413148498152014,1.00000375802992,66138.0326716399,52462.442248644
"event_subcategoryRestandSleep","HC",-0.16642555563165,0.0634162089850045,-0.290892225338522,-0.0428284673975408,1.00007331350178,34028.4901010801,48170.0115267408
"event_subcategoryMedicalTreatmentandHealthcareInteractions","HC",-0.296901322365875,0.154908811814419,-0.600224658966313,0.00565390894271595,1.00003015253567,84755.4170897479,53225.054648493
"event_subcategoryHealthcareJourneysandVisits","HC",-0.707268044359059,0.103721937737621,-0.9104690949874,-0.503940796635398,1.00001545650325,59403.7086983597,51371.0590032983
"event_subcategoryShoppingandErrands","HC",0.0110003387663008,0.0720982328658236,-0.131725615790688,0.152559364238925,1.00000936179003,40921.8452090887,49188.6427344613
"event_subcategoryHouseholdChores","HC",0.0981313558059956,0.0683750177850125,-0.0353447895806187,0.232649942754261,1.00004433692928,39221.2377062923,50183.160273601
"event_subcategoryEmotionalandConflictResolution","HC",-1.415608681037,0.0930542482247406,-1.59848590646872,-1.23251353509201,1.00002879650147,50442.2299628191,51523.8846852773
"event_subcategoryWorkMRelatedTasksandProjects","HC",-0.10920499398739,0.0689553865979806,-0.24353387734612,0.0254780509205808,1.00009045688039,37052.5830631271,48029.2456775484
"event_subcategoryMentalHealthandEmotionalState","HC",-1.7089053503101,0.106421541114339,-1.91571310217043,-1.50025028311206,1.00003228840108,57649.3425669596,52070.2427790376
"event_subcategoryIndeterminate","HC",-0.331176729005776,0.0648739201184197,-0.458277084863294,-0.203833146154253,1.00004555946555,32016.589272597,49491.7760336622
"event_subcategoryRomanticPartnerships","HC",-0.00440667018046865,0.0885628151490374,-0.177860956161847,0.168842290167162,1.00006404021587,50170.6079942463,48517.9072891121
"event_subcategoryMoodandEmotionalFluctuations","HC",-1.25002963263922,0.162211549510655,-1.56774948165856,-0.933282587772247,1.00004995823454,90096.0299374722,55614.5863281403
"event_subcategoryFriendshipActivities","HC",0.183087902973433,0.0775668332380133,0.0304440028846796,0.334609144294295,1.00003221380501,43408.3702840846,49225.6046022422
"event_subcategoryAcquaintanceandCasualInteractions","HC",-0.186289180394897,0.113561133962313,-0.409726709311962,0.0353889518299354,1.00002994356167,66576.5965464102,50294.4592021098
"event_subcategoryEducationalandAcademicWork","HC",-0.217120747898954,0.0918867295902838,-0.397474371678852,-0.0381893288130611,1.00004845016789,54688.8403471431,53716.4983768481
"event_subcategoryProfessionalCommunicationandMeetings","HC",-0.215713397592381,0.0906353201273072,-0.392983399646863,-0.0381200960958942,1.00005629385599,54978.6387038962,50476.6363573786
"event_subcategoryRelaxation","HC",0.350780316605629,0.216092997629544,-0.0738345938470832,0.773517756843183,0.999995184771787,112040.442643889,53550.6427776703
"event_subcategoryLeisureandEntertainmentatHome","HC",-0.00414328605478898,0.105287584538013,-0.210526418164391,0.202279649296657,1.00007238199555,61790.1493081456,51140.5197122566
"event_subcategoryReadingandIntellectualActivities","HC",-0.420603090379686,0.122600978361918,-0.662204210549561,-0.180904768440049,1.00003874705657,78918.4311698103,54178.7989141008
"event_subcategoryGamesandHobbies","HC",-0.14278097897027,0.120687520913423,-0.380080012106229,0.0931598336663923,1.00001887882418,73729.3639507575,53116.3525750121
"event_subcategoryFinancialandAdministrativeTasks","HC",-0.486291966277833,0.224773841862843,-0.923409907901181,-0.0470900214631659,1.00002270733961,112681.035026127,53918.5887034467
"event_subcategoryPhysicalHealthandSymptoms","HC",-0.683796207887716,0.199440305870468,-1.07490678173599,-0.291035783531876,1.00008291045356,106113.635808587,51349.5335392553
"event_subcategorySportsandPhysicalActivities","HC",0.495339472236773,0.145720070575621,0.210245370680862,0.782737262190285,1.00004707347425,90525.899482389,52636.0341274187
"groupBPD","BPD",-3.97197048719373,0.171655547470718,-4.31035875286711,-3.63207002285786,1.00066678846394,3095.07414917981,5356.4589450446
