"Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","NA","NA","NA","NA","NA","NA","NA"
"event_categoryHealthandWellMbeing",-0.789708715517233,0.0663980055227516,-0.920800372967028,-0.659256911069918,1.00010090056506,45624.6899848322,25575.7706867827,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate",-0.0693790300120364,0.0576181849293368,-0.182275269604894,0.042921102591218,1.00002813204569,36301.7613385753,28040.5523116289,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation",0.156308140650754,0.0387231882607801,0.0804044206981618,0.232206610351115,1.00033003380323,40948.0540483827,26188.1087650173,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships",-0.0902125248934566,0.039287092297509,-0.16812733370865,-0.013146600710677,1.00001964704229,39311.8720796944,25842.4464010829,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements",-0.250615336198823,0.0458003027403445,-0.340419164279391,-0.160813890515962,1.00003161731845,41895.6560274129,25705.7874999524,NA,NA,NA,NA,NA,NA,NA
"group1",-2.32668136126752,0.134517364083668,-2.59147335771015,-2.0638440384863,1.00167491195496,1845.51511684434,4295.69525924815,NA,NA,NA,NA,NA,NA,NA
"Intercept",5.08527851639105,0.0912503953091442,4.9080345644972,5.26126281619263,1.00178777307556,1865.21408497915,4260.46541968265,NA,NA,NA,NA,NA,NA,NA
"sigma",NA,NA,NA,NA,NA,NA,NA,1.12591083948185,0.00945778965113863,1.10771461789825,1.14459566059159,1.00008862836865,61345.5593824337,23178.7459699072
