"group","event_category","Mean","Median","SD","ETI 2.5%","ETI 97.5%","HDI 2.5%","HDI 97.5%"
"2","Daily Routines and Household Activities",5.07554172243948,5.12523025896089,0.659810101956605,3.43483682062573,5.96785936882916,3.93381794897754,5.98120964820655
"2","Leisure and Recreation",5.27699850414444,5.43913789084774,0.691528533009612,3.44005805904914,6.12659086335324,4.06945490694728,6.15197436522114
"2","Social and Personal Relationships",5.03439983570201,5.18128162100027,0.658617930165161,3.27097390170693,5.8744459080101,3.81839526017408,5.89231950973786
"2","Work and Professional Engagements",4.81127682437542,4.94886956104217,0.736815137962506,3.03491032205031,5.72996229046101,3.17954607494109,5.73519860407043
"2","Health and Well-being",4.23950184039265,4.23613136725981,0.612766157493247,2.64692753790657,5.05272646636177,3.28417500998405,5.18648690119941
"2","Indeterminate",4.98701431495605,4.96686969641314,0.618422002717836,3.27419106119857,5.81921413842332,3.84310526827688,5.83115222304705
"1","Daily Routines and Household Activities",2.81283299568088,2.78060516085399,0.955766777184855,0.540189709056435,4.56496280318417,0.780020566776865,4.58143951254137
"1","Leisure and Recreation",2.96210567434634,2.91664707379245,0.968170823308617,0.799719454060448,4.89788000831699,1.33738546745002,4.91387943522272
"1","Social and Personal Relationships",2.68720711072888,2.56144150005642,1.01119358988613,0.455529352123523,4.48180917300175,0.527914555024395,4.48636983261744
"1","Work and Professional Engagements",2.63467563538766,2.69941727037798,1.04158152705063,0.259861003811707,4.49440519295757,0.288780504664682,4.49981674565646
"1","Health and Well-being",1.54309889751442,1.66569482257593,1.05676301199049,-0.306222917178056,3.72838061612955,-0.31248513148642,3.3553899489192
"1","Indeterminate",2.60748140462294,2.85320388682026,1.06814337182854,0.552146920036545,4.36831516915768,0.547068525975671,4.31848499772746
