"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",4.94014803023485,0.077415879480942,4.78891366692839,5.09219397715675,1.00026348346737,8393.38056924557,16573.5154007624
"event_categoryLeisureandRecreation","HC",0.0872003702715503,0.0434640535590367,0.00226708307389227,0.172437070876411,1.0000132068595,92457.7038411996,60535.6416058294
"event_categorySocialandPersonalRelationships","HC",-0.0372303522855321,0.0481517096677205,-0.13104624238989,0.0573227743214013,1.00009683560595,93852.5392222772,62535.6090253243
"event_categoryWorkandProfessionalEngagements","HC",-0.303073939829138,0.0474611723409227,-0.395680701221465,-0.209876455983935,1.00000762782503,94072.8498517583,60115.520755174
"event_categoryHealthandWellMbeing","HC",-0.617150983574381,0.126832848243704,-0.867336407349377,-0.368099460851161,1.00009048986436,95105.0009373758,57066.4645322716
"event_categoryIndeterminate","HC",-0.0525277408721196,0.0724590732423463,-0.194915893189415,0.0899468224556321,1.00006942323561,96592.3905098737,59044.6608250704
"groupBPD","BPD",-2.00533835049027,0.111987721070886,-2.22337139756319,-1.78603043614874,1.0007118493396,8513.48991286217,17239.9623948267
"event_categoryLeisureandRecreation:groupBPD","BPD",0.0311333736610257,0.0657975308792298,-0.0988919638519929,0.15959841917045,1.00004273558552,87770.0799265965,60673.670158809
"event_categorySocialandPersonalRelationships:groupBPD","BPD",-0.26489181630553,0.0654895133452351,-0.393686921440712,-0.13646798547708,0.999981288183089,86438.3911459891,61185.0417305335
"event_categoryWorkandProfessionalEngagements:groupBPD","BPD",-0.100288506577978,0.0878113218206374,-0.271944973629112,0.0717177722406535,1.00004332338243,101440.294803686,61863.3871271483
"event_categoryHealthandWellMbeing:groupBPD","BPD",-0.171955251882973,0.140388200815227,-0.444796814939421,0.104458208678448,1.00010347322526,92870.1652658942,55856.4946811381
"event_categoryIndeterminate:groupBPD","BPD",-0.0910744584823533,0.0965918956916584,-0.279886193833793,0.0979464934297706,1.00000220647023,89167.9675479006,58049.8544874659
