"Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","NA","NA","NA","NA","NA","NA","NA"
"event_categoryHealthandWellMbeing",-0.650925606526605,0.127061418630429,-0.900931493622435,-0.401601198100601,1.00009979159626,21813.6624399198,23519.5008876594,NA,NA,NA,NA,NA,NA,NA
"event_categoryHealthandWellMbeing:group1",-0.0341220199521093,0.148170077901168,-0.323662604344432,0.256503862760825,1.0000702469619,20366.7854323851,22519.7827874291,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate",-0.00402593290824807,0.0872471042901133,-0.175077770939734,0.166898852317261,1.00007454486432,21298.2537379624,23623.7490083871,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate:group1",-0.0425762306310408,0.115287851008931,-0.267373970535718,0.182522291787655,1.00016291321325,19600.6407080725,23400.9408930502,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation",0.0859268054925505,0.0485276825775941,-0.00918432456035106,0.181347167389996,1.0002341237341,22320.5860208599,23046.3806620536,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation:group1",-0.0119114660908422,0.0768992939938197,-0.161804663069659,0.138352722193979,1.00004903069572,20718.7541760414,23889.4089549157,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships",0.0140202842150168,0.0535672088508909,-0.0905250629964669,0.119748370887756,1.00015387263015,20638.4060357692,23937.1974231708,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships:group1",-0.316354219054076,0.0782736779035046,-0.470727197755819,-0.164093985066637,1.00024545099962,18643.3153183979,22810.4798987654,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements",-0.280576120229484,0.0515472859431931,-0.380416718180896,-0.180256665244555,1.00020495376546,23236.5779123774,24378.4018898328,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements:group1",-0.156518158500306,0.106341020244543,-0.362773150885566,0.0502048742131412,1.00013370975723,25273.7346423617,25547.6368872965,NA,NA,NA,NA,NA,NA,NA
"group1",-2.12944785795122,0.140928817958218,-2.40609954151251,-1.84975667294589,1.00210404243459,1820.48958383843,3769.59263960374,NA,NA,NA,NA,NA,NA,NA
"Intercept",4.97381723449593,0.0929735670741796,4.78931272846931,5.15501069181129,1.00385894576279,1500.54470717026,3437.3885403437,NA,NA,NA,NA,NA,NA,NA
"sigma",NA,NA,NA,NA,NA,NA,NA,1.09669508616145,0.00915262511327619,1.07912540286178,1.11486458803503,0.999996945995658,47381.8672572266,23382.5739229599
