"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",4.78810250984132,4.6441426932022,4.93189318742552
"event_categoryLeisure and Recreation",0.0234530226737674,-0.0472221514551373,0.0960929140670649
"event_categorySocial and Personal Relationships",-0.208068532668684,-0.289132718633097,-0.126760225035374
"event_categoryWork and Professional Engagements",-0.177777385742486,-0.269614787503424,-0.0838949613811288
"event_categoryHealth and Well-being",-0.4849824953546,-0.622171828001527,-0.348405067628101
"event_categoryIndeterminate",-0.0115345005344937,-0.124076721275072,0.101307626928719
"sentiment_within",0.377275533056034,0.317495289791431,0.435958944267816
"groupBPD",-2.02086898993383,-2.19602638879548,-1.8466183809995
"sentiment_mean",1.2012256979634,0.794404764118047,1.63248716753881
"sentiment_within:groupBPD",0.296103137324397,0.192679888185373,0.401680771790037
