"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",5.03995551464651,4.94194697309952,5.13814906287099
"event_categoryLeisure and Recreation",0.161909846476974,0.0880031795376911,0.23865429912555
"event_categorySocial and Personal Relationships",-0.109065968923254,-0.195484046420798,-0.0225828212188557
"event_categoryWork and Professional Engagements",-0.225176975384288,-0.318995406931031,-0.128568402182851
"event_categoryHealth and Well-being",-0.838207342318075,-0.997603543030964,-0.681211663130764
"event_categoryIndeterminate",-0.0860413214484182,-0.194565136682014,0.0266129127319919
"groupBPD",-2.19230461917397,-2.3538414846124,-2.03065831970979
