"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",8.14751928572003,7.92589634796909,8.36898394696971
"event_categoryLeisure and Recreation",-0.104399197970017,-0.197755377480372,-0.0121611086854716
"event_categorySocial and Personal Relationships",-0.277550147027002,-0.378445022782104,-0.178542024519639
"event_categoryWork and Professional Engagements",-0.110211193317081,-0.229371703658575,0.0199329164052691
"event_categoryHealth and Well-being",-0.500540984264237,-0.709365615138217,-0.293840408680731
"event_categoryIndeterminate",-0.203696034221901,-0.333911572706242,-0.0781209174823372
"sentiment_within",0.230464119147445,0.16948933089786,0.293173980585453
"groupBPD",-3.94237136745825,-4.24896073342613,-3.63188361909704
"sentiment_mean",0.768037369060805,-0.0110825367471289,1.56924570419933
"sentiment_within:groupBPD",0.684606314512956,0.54718740885252,0.826453637058795
