"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",4.74247126865004,4.59154651446369,4.90066800315724
"event_categoryLeisure and Recreation",-0.0103072745572423,-0.0937143630599176,0.0692189450708128
"event_categorySocial and Personal Relationships",-0.26275885313337,-0.34390055726342,-0.184029876197857
"event_categoryWork and Professional Engagements",-0.300741710945021,-0.398694999039289,-0.202042006100666
"event_categoryHealth and Well-being",-0.433462724818626,-0.567806635167558,-0.292513312672814
"event_categoryIndeterminate",-0.0380719485833889,-0.152306896199472,0.0748689932217241
"sentiment_within",0.300561014186743,0.24394531997984,0.357554778926894
"groupBPD",-1.9234661898975,-2.10691825607298,-1.74629333496282
"sentiment_mean",1.07405662562852,0.651821378764885,1.49235730575911
"sentiment_within:groupBPD",0.240556248642609,0.136537413563913,0.345840625924642
